compilers-003, 0.718200408998, 1.42328767123, 0.619178082192, 3.34931506849, 0.0359411637665, 44551.1435768, 5169.0, 50752.5248619, 3603.0, 0.121681415929, 60.0744274809, 5.4092920354, 0, 0.0, None, None, None, 2.83980582524
genomescience-placeholder, 0.734628770302, 1.91523178808, 0.943046357616, 5.64370860927, None, 120245.971175, 95361.0, 60515.2746539, 7848.0, 0.366573033708, 55.7245308311, 4.84269662921, 4, 56.0, 1.50373134328, None, None, 3.8191681736
pgm, 0.918773563983, 1.93287701479, 0.636122764407, 4.35372046809, None, 94874.1455186, 47538.0, 61782.6878875, 5608.0, 0.310656022215, 71.2012638836, 6.2603262756, 0, 0.0, None, None, None, 6.12230715775
compilers-2012-002, 0.688241106719, 1.16702508961, 0.539784946237, 2.9017921147, None, 65317.7521815, 22126.0, 64186.6767032, 7162.0, 0.239043824701, 58.9123141441, 5.37583001328, 0, 0.0, None, None, None, 3.3986013986
algo-2012-002, 0.910629547612, 0.509481961147, 0.234042553191, 1.65541165587, 0.0171330558125, 73645.0918221, 37026.5, 48258.5430852, 5036.0, 0.311264822134, 71.5787316132, 6.24703557312, 36, 26.9655172414, 0.936511983682, None, None, 2.02388707926
pgm-2012-002, 0.762842002812, 1.41188040913, 0.586546026751, 3.63768686074, 0.0498477724762, 105695.552632, 54502.0, 60767.5207308, 4884.5, 0.337357478203, 70.7465362673, 6.20187793427, 0, 0.0, None, None, None, 4.59611992945
gametheory, 0.66006136538, 0.325084745763, 0.136779661017, 1.51508474576, None, 77680.8309609, 38875.0, 45916.2535697, 3487.0, 0.303593556382, 48.8071789322, 9.6926889715, 6, 32.0, 1.1325648415, None, None, 1.9296875
automata, 0.797343826857, 0.477811550152, 0.274164133739, 1.72583586626, None, 68229.1148036, 18054.0, 52553.851743, 4531.0, 0.266075388027, 80.1081433225, 4.50776053215, 0, 0.0, None, None, None, 2.17832167832
childnutrition-001, 0.963577201637, 0.239253660841, 0.0931349393796, 0.75003936388, 0.0114979432373, 44523.1868251, 10987.0, 42297.9900492, 3939.0, 0.217244294167, 80.5546477571, 8.05325443787, 152, 67.1571428571, 1.13037837838, 1.05050470013, 2.20035460993, 3.43593519882
einstein-001, 0.949551651236, 0.633724948169, 0.261230131306, 2.3699032481, 0.0159386173793, 37993.5761642, 5630.5, 30803.7242086, 2521.5, 0.162037037037, 76.8190961171, 9.07208994709, 38, 52.3888888889, 0.990117774469, 1.07868701145, 1.592039801, 3.98071625344
cs101, 0.973787222145, 0.117688513037, 0.054576775507, 0.631234828909, None, 47303.5094697, 7077.0, 26176.8991705, 1332.5, 0.242467718795, 38.9081724517, 10.262553802, 19, 89.9166666667, 1.41960784314, None, None, 1.61117898595
intrologic-2012-002, 0.73900565544, 0.367570385819, 0.172575599583, 1.54457768509, 0.0200356668879, 62284.9741863, 36667.0, 33484.4393493, 2931.0, 0.327039274924, 56.5531303848, 8.94788519637, 36, 59.3636363636, 0.815659574468, 0.862505943547, 1.26459719143, 2.77978883861
crypto-005, 0.830157866086, 0.447692307692, 0.216538461538, 1.67423076923, 0.0279187569677, 59474.2281879, 17099.0, 48733.8230322, 4561.5, 0.206039076377, 60.0533769063, 6.52575488455, 1, 26.0, 1.09722222222, 0.913382594417, 0.638513513514, 2.50887573964
crypto-006, 0.859098228663, 0.310278945357, 0.161253343523, 0.949178448605, 0.0155365269045, 60996.9039039, 14504.5, 71963.8429752, 9152.0, 0.210900473934, 79.7950236967, 5.88625592417, 7, 18.0, 0.503144654088, 0.682291666667, 6.33333333333, 2.45047923323
hci-003, 0.756595191683, 0.56561177182, 0.305986696231, 1.55109856884, None, 70304.8984962, 45148.5, 57523.8511914, 6527.0, 0.29907773386, 70.3461009962, 5.06916996047, 0, 0.0, None, None, None, 2.95219638243
pgm-003, 0.874263261297, 0.773599386032, 0.353798925556, 1.95318495779, 0.0322506288906, 109540.161616, 41096.5, 83506.1307174, 9723.0, 0.248373101952, 76.9316022799, 5.52060737527, 0, 0.0, None, None, None, 3.67961165049
algo2-2012-001, 0.965230166503, 0.612595419847, 0.218647764449, 1.74781897492, 0.0376117018054, 104109.804921, 34946.0, 50242.5450322, 5938.5, 0.290523690773, 64.541706012, 7.63840399002, 35, 56.3333333333, 1.22936233317, 0.854209079805, 1.71601208459, 4.21372031662
crypto-2012-003, 0.64046103561, 0.488632824665, 0.249454998443, 1.81033945811, 0.0287254749299, 92284.2130282, 49519.0, 54306.8328334, 4306.0, 0.29088639201, 53.6051909159, 7.25717852684, 7, 16.1666666667, 0.8225, 0.682531496353, 0.330132052821, 1.93715083799
crypto-2012-002, 0.790396341463, 0.662445851383, 0.299566811063, 2.14995001666, 0.0134955014995, 75152.6737357, 30509.0, 50217.0622519, 4118.0, 0.318131256952, 51.3371442471, 5.83759733037, 89, 32.2325581395, 1.38739746458, None, None, 2.02696871629
design-placeholder, 0.909213810316, 0.640300573463, 0.251137037769, 2.20921494957, None, 60318.7311828, 19922.5, 34609.3449601, 3092.0, 0.267716535433, 50.6744766394, 7.57165354331, 0, 0.0, None, None, None, 2.53389830508
hci, 0.837185146715, 0.904302803071, 0.298518121764, 2.23835029459, None, 62980.3324324, 33175.0, 42164.3017631, 3047.0, 0.336124401914, 62.245473629, 6.90968899522, 15, 100.666666667, 1.28823279524, None, None, 3.33259749816
compilers, 0.835507990031, 1.80577136515, 0.685349611543, 4.54162042175, None, 57914.3141684, 11814.0, 46761.6335592, 3855.0, 0.211336032389, 61.5761058109, 5.52307692308, 77, 76.7402597403, 0.991679784124, None, None, 3.55454545455
intrologic, 0.870605004751, 0.290826383624, 0.154814253222, 1.34313874147, None, 84601.505295, 48368.0, 36688.7764571, 2140.0, 0.352595494613, 55.1303665948, 6.18413320274, 117, 34.6714285714, 0.70664325181, None, None, 2.03021148036
algo, 0.882409871764, 0.353095684803, 0.154221388368, 1.17936210131, None, 77948.6165327, 32123.0, 48899.5675147, 5280.5, 0.293592862936, 71.2788063994, 6.70397404704, 50, 29.3617021277, 0.977625192376, None, None, 2.44267053701
intrologic-003, 0.952221691352, 0.244014825203, 0.10658118802, 0.838625663628, 0.0144967799426, 63875.9276961, 12682.5, 35184.2031507, 3680.0, 0.233082706767, 72.8945902944, 7.86842105263, 0, 0.0, None, None, None, 2.92486583184
sustainableag-placeholder, 0.879872712808, 11.8524590164, 4.24180327869, 23.1823770492, None, 181012.275971, 174256.5, 82673.6517662, 10763.5, 0.390821256039, 116.64431449, 5.4652173913, 0, 0.0, None, None, None, 7.1847826087
algo-003, 0.906859331476, 0.336301092675, 0.167341157426, 1.29178470255, 0.0282042883894, 75911.2789969, 19419.0, 49946.2035334, 4829.0, 0.22853688029, 58.2960850402, 6.94558645707, 9, 23.7777777778, 0.895779500431, 0.905599656726, 0.686520376176, 2.50637755102
ml, 0.946508628631, 0.462521034114, 0.225791647545, 1.35765641732, None, 98077.042885, 23802.0, 57250.5167461, 4736.5, 0.30487804878, 61.8727030626, 5.51592140921, 0, 0.0, None, None, None, 2.37936681223
hci-2012-002, 0.740369051473, 0.474448103427, 0.270520795219, 1.88376631296, None, 71745.1526132, 49089.5, 40639.648057, 2276.0, 0.353020739405, 51.6885917031, 6.96348061317, 11, 88.6666666667, 0.748492886424, None, None, 2.3625498008
crypto, 0.823535194652, 0.62566414426, 0.233134760908, 1.77942360328, None, 66224.8105561, 26704.0, 48187.921407, 5487.0, 0.26726519337, 57.7585843373, 7.02486187845, 249, 28.5057471264, 1.06595570139, None, None, 2.95615275813
worldmusic-placeholder, 0.727512500687, 3.35801863659, 3.978911231, 11.4664051005, None, 75433.5450491, inf, 38795.565577, 4021.5, 0.723653395785, 77.8434380464, 2.24318994207, 30, 96.8846153846, 1.61991426029, None, None, 3.6510234648
ml-2012-002, 0.93966992665, 0.419014841901, 0.202767620277, 1.29332472933, 0.0142775593948, 114989.737982, 41612.0, 64852.9843049, 5578.5, 0.330622347949, 60.5372718053, 5.78500707214, 1, 110.0, 0.941176470588, 1.10624169987, 1.86206896552, 2.30128510233
gametheory-2012-002, 0.92366720517, 0.183181381958, 0.0833733205374, 0.690439059501, 0.014997364305, 76560.5971564, 27078.5, 49264.8085064, 6352.0, 0.241007194245, 62.6094019551, 7.12517985612, 2, 38.0, 0.812186379928, 0.909256449165, 0.820987654321, 3.07949790795
operations-placeholder, 0.747375726555, 1.24082537045, 0.304943913585, 3.66472787703, None, 60060.2162673, 10483.0, 38344.354446, 4227.0, 0.27974568574, 87.5621958637, 10.4695731153, 0, 0.0, None, None, None, 1.27746947836
gamification-placeholder, 0.89283438363, 0.514429255754, 0.183315807921, 1.7912723449, None, 51318.4129064, 16847.0, 30225.3625123, 1444.0, 0.343212237094, 70.2085377821, 9.00127469726, 74, 61.9452054795, 0.903371826007, None, None, 2.73875968992
maththink-2012-001, 0.778569106652, 1.13345275414, 0.36262875056, 3.78851321093, None, 54547.8170254, 39197.0, 24004.1919238, 1558.0, 0.368941031182, 71.0528887122, 10.4473602964, 268, 76.6020942408, 1.06822181191, None, None, 3.88650883127
sciwrite-2012-001, 0.850376834589, 0.263227295204, 0.118015493654, 1.03881654854, 0.0104532208439, 90766.7269874, 43369.5, 48483.7050671, 3126.0, 0.332402234637, 56.4991263832, 8.80237430168, 54, 38.962962963, 1.22688094811, 0.975648179503, 1.68730057435, 2.76616658044
organalysis-2012-001, 0.670730259252, 5.15318044137, 1.76157507572, 12.8836001731, 0.0719267319756, 110485.947445, 1687520.0, 43273.2176932, 3172.0, 0.495210022108, 66.4972425597, 6.20609186932, 122, 64.6315789474, 1.2768666259, 0.942314223425, 2.71546203111, 4.68451519537
maththink-002, 0.820271570619, 1.32551159618, 0.432742155525, 5.10395634379, 0.0784908544288, 35480.7212257, 5888.0, 27253.4308772, 1791.0, 0.156368221942, 77.6926141258, 11.7944514502, 415, 80.7315436242, 1.0126256396, 1.02742620178, 3.03644580081, 5.00516795866
